Month	Date	Year	sampleDir
Jan	23	2015	150123_SRR1125120
Jan	23	2015	150123_SRR1125138
Jan	23	2015	150123_SRR1125171
Jan	23	2015	150123_SRR1125114
Jan	23	2015	150123_SRR1125165
Jan	23	2015	150123_SRR1125177
Jan	23	2015	150123_SRR1125141
Jan	23	2015	150123_SRR1125168
Jan	23	2015	150123_SRR1125174
Jan	23	2015	150123_SRR1125156
Jan	23	2015	150123_SRR1125150
Jan	23	2015	150123_SRR1125108
Jan	23	2015	150123_SRR1125123
Jan	23	2015	150123_SRR1125049
Jan	23	2015	150123_SRR1125180
Jan	23	2015	150123_SRR1125099
Jan	23	2015	150123_SRR1125129
Jan	23	2015	150123_SRR1125183
Jan	23	2015	150123_SRR1125144
Jan	23	2015	150123_SRR1125153
Jan	23	2015	150123_SRR1125057
Jan	23	2015	150123_SRR1125046
Jan	23	2015	150123_SRR1125043
Jan	23	2015	150123_SRR1125055
Jan	23	2015	150123_SRR1125105
Jan	23	2015	150123_SRR1125132
Jan	23	2015	150123_SRR1125060
Jan	23	2015	150123_SRR1125063
Jan	23	2015	150123_SRR1125189
Jan	23	2015	150123_SRR1125102
Jan	26	2015	150126_SRR1125301
Jan	26	2015	150126_SRR1125217
Jan	26	2015	150126_SRR1125244
Jan	26	2015	150126_SRR1125286
Jan	26	2015	150126_SRR1125298
Jan	26	2015	150126_SRR1125223
Jan	26	2015	150126_SRR1125229
Jan	26	2015	150126_SRR1125241
Jan	26	2015	150126_SRR1125250
Jan	26	2015	150126_SRR1125316
Jan	26	2015	150126_SRR1125232
Jan	26	2015	150126_SRR1125262
Jan	26	2015	150126_SRR1125235
Jan	26	2015	150126_SRR1125313
Jan	26	2015	150126_SRR1125307
Jan	26	2015	150126_SRR1125268
Jan	26	2015	150126_SRR1125198
Jan	26	2015	150126_SRR1125295
Jan	26	2015	150126_SRR1125292
Jan	26	2015	150126_SRR1125283
Jan	26	2015	150126_SRR1125277
Jan	26	2015	150126_SRR1125192
Jan	26	2015	150126_SRR1125204
Jan	26	2015	150126_SRR1125208
Jan	26	2015	150126_SRR1125220
Jan	26	2015	150126_SRR1125304
Jan	26	2015	150126_SRR1125289
Jan	26	2015	150126_SRR1232130
Jan	26	2015	150126_SRR1125214
Jan	26	2015	150126_SRR1254304
Jan	26	2015	150126_SRR1253928
Jan	26	2015	150126_SRR1253942
Jan	26	2015	150126_SRR1253936
Jan	26	2015	150126_SRR1248864
Jan	26	2015	150126_SRR1254240
Jan	26	2015	150126_SRR1232181
Jan	26	2015	150126_SRR1232169
Jan	26	2015	150126_SRR1250653
Jan	26	2015	150126_SRR1232161
Jan	26	2015	150126_SRR1250744
Jan	26	2015	150126_SRR1248773
Jan	26	2015	150126_SRR1248962
Jan	26	2015	150126_SRR1253950
Jan	26	2015	150126_SRR1250557
Jan	26	2015	150126_SRR1248771
Jan	26	2015	150126_SRR1232201
Jan	26	2015	150126_SRR1267210
Jan	26	2015	150126_SRR1268769
Jan	26	2015	150126_SRR1250707
Jan	26	2015	150126_SRR1232195
Jan	26	2015	150126_SRR1250602
Jan	26	2015	150126_SRR1232173
Jan	26	2015	150126_SRR1250627
Jan	26	2015	150126_SRR1266557
Jan	26	2015	150126_SRR1253908
Jan	26	2015	150126_SRR1253918
Jan	26	2015	150126_SRR1266632
Jan	26	2015	150126_SRR1254310
Jan	26	2015	150126_SRR1257560
Jan	26	2015	150126_SRR1257518
Jan	26	2015	150126_SRR1267234
Jan	26	2015	150126_SRR1232199
Jan	26	2015	150126_SRR1250555
Jan	26	2015	150126_SRR1257554
Jan	26	2015	150126_SRR1267827
Jan	26	2015	150126_SRR1268256
Jan	26	2015	150126_SRR1257600
Jan	26	2015	150126_SRR1257632
Jan	26	2015	150126_SRR1257622
Jan	26	2015	150126_SRR1268799
Jan	26	2015	150126_SRR1268761
Jan	26	2015	150126_SRR1267182
Jan	26	2015	150126_SRR1250584
Jan	26	2015	150126_SRR1267141
Jan	26	2015	150126_SRR1268816
Jan	26	2015	150126_SRR1267825
Jan	26	2015	150126_SRR1262609
Jan	26	2015	150126_SRR1267174
Jan	26	2015	150126_SRR1267830
Jan	26	2015	150126_SRR1257628
Jan	26	2015	150126_SRR1268163
Jan	26	2015	150126_SRR1268803
Jan	26	2015	150126_SRR1267826
Jan	26	2015	150126_SRR1268164
Jan	26	2015	150126_SRR1267829
Jan	26	2015	150126_SRR1266549
Jan	26	2015	150126_SRR1268978
Jan	26	2015	150126_SRR1266693
Jan	26	2015	150126_SRR1267828
Jan	27	2015	150127_SRR1279563
Jan	27	2015	150127_SRR1279750
Jan	27	2015	150127_SRR1279488
Jan	27	2015	150127_SRR1279625
Jan	27	2015	150127_SRR1275991
Jan	27	2015	150127_SRR1275769
Jan	27	2015	150127_SRR1275705
Jan	27	2015	150127_SRR1279553
Jan	27	2015	150127_SRR1275701
Jan	27	2015	150127_SRR1275657
Jan	27	2015	150127_SRR1276105
Jan	27	2015	150127_SRR1279663
Jan	27	2015	150127_SRR1279235
Jan	27	2015	150127_SRR1279533
Jan	27	2015	150127_SRR1276117
Jan	27	2015	150127_SRR1279321
Jan	27	2015	150127_SRR1279300
Jan	27	2015	150127_SRR1276119
Jan	27	2015	150127_SRR1275843
Jan	27	2015	150127_SRR1280125
Jan	27	2015	150127_SRR1279030
Jan	27	2015	150127_SRR1280031
Jan	27	2015	150127_SRR1279032
Jan	27	2015	150127_SRR1269059
Jan	27	2015	150127_SRR1279308
Jan	27	2015	150127_SRR1290413
Jan	27	2015	150127_SRR1279016
Jan	27	2015	150127_SRR1280079
Jan	27	2015	150127_SRR1284040
